Activity,Option,CO2_kg_per_year,Green_Score
Meat,No meat,109,94
Transport,Cycle/Walk,47,90
Plastic,Frequent,748,43
Energy,Solar,172,82
Flights,None,180,95
Water,Moderate usage,350,70
Shopping,Minimal / recycled,101,90
Meat,Daily,1079,26
Transport,Public Transport,497,60
Plastic,Moderate,372,58
Energy,Renewable,106,94
Flights,None,133,100
Water,Low usage,171,86
Shopping,Monthly shopping,513,64
Meat,Occasionally,498,49
Transport,Car,1099,24
Plastic,Frequent,724,32
Energy,Coal,1188,29
Flights,1-5/year,901,47
Water,Low usage,200,83
Shopping,Fast fashion weekly,926,30
Meat,Occasionally,545,48
Transport,Cycle/Walk,48,93
Plastic,Minimal,142,82
Energy,Coal,979,28
Flights,1-5/year,897,48
Water,High usage,708,37
Shopping,Minimal / recycled,110,99
Meat,Occasionally,532,42
Transport,Public Transport,500,64
Plastic,Minimal,142,79
Energy,Coal,1106,31
Flights,1-5/year,920,44
Water,Low usage,217,83
Shopping,Monthly shopping,446,57
Meat,Daily,977,13
Transport,Cycle/Walk,44,94
Plastic,Moderate,387,57
Energy,Solar,220,84
Flights,None,90,98
Water,High usage,687,44
Shopping,Fast fashion weekly,792,22
Meat,No meat,90,90
Transport,Public Transport,617,53
Plastic,Frequent,629,36
Energy,Gas,825,48
Flights,None,200,100
Water,Moderate usage,343,64
Shopping,Monthly shopping,525,55
Meat,No meat,99,90
Transport,Cycle/Walk,53,98
Plastic,Moderate,332,62
Energy,Coal,1125,25
Flights,1-5/year,1005,38
Water,Moderate usage,440,66
Shopping,Fast fashion weekly,801,24
Meat,No meat,110,83
Transport,Car,1257,24
Plastic,Minimal,143,84
Energy,Gas,670,48
Flights,>5/year,1961,6
Water,Moderate usage,377,69
Shopping,Minimal / recycled,86,90
Meat,Occasionally,647,43
Transport,Car,1384,29
Plastic,Moderate,414,56
Energy,Coal,1180,34
Flights,1-5/year,1088,44
Water,High usage,728,34
Shopping,Fast fashion weekly,884,24
Meat,Daily,979,18
Transport,Public Transport,459,68
Plastic,Minimal,123,87
Energy,Renewable,88,96
Flights,None,360,98
Water,Moderate usage,361,83
Shopping,Minimal / recycled,100,85
Meat,Occasionally,556,49
Transport,Car,940,21
Plastic,Moderate,449,55
Energy,Solar,183,90
Flights,>5/year,2126,1
Water,Low usage,196,82
Shopping,Minimal / recycled,95,77
Meat,Occasionally,516,55
Transport,Cycle/Walk,46,94
Plastic,Minimal,142,89
Energy,Coal,1000,35
Flights,None,2700,97
Water,Moderate usage,340,74
Shopping,Minimal / recycled,110,90
Meat,No meat,96,87
Transport,Cycle/Walk,51,100
Plastic,Minimal,161,81
Energy,Coal,1155,29
Flights,>5/year,2134,33
Water,Moderate usage,450,77
Shopping,Minimal / recycled,92,96
Meat,Occasionally,618,54
Transport,Car,1090,34
Plastic,Frequent,877,35
Energy,Solar,184,90
Flights,None,2657,100
Water,Low usage,187,76
Shopping,Monthly shopping,440,53
Meat,No meat,111,92
Transport,Car,1320,18
Plastic,Frequent,659,28
Energy,Renewable,96,97
Flights,>5/year,2029,6
Water,High usage,753,40
Shopping,Minimal / recycled,103,88
Meat,Occasionally,523,51
Transport,Public Transport,512,59
Plastic,Frequent,802,33
Energy,Gas,688,34
Flights,>5/year,1801,6
Water,High usage,569,46
Shopping,Monthly shopping,459,42
Meat,Daily,880,16
Transport,Car,1126,19
Plastic,Moderate,396,65
Energy,Renewable,111,97
Flights,1-5/year,930,42
Water,Moderate usage,429,76
Shopping,Fast fashion weekly,976,31
Meat,Occasionally,646,42
Transport,Public Transport,464,72
Plastic,Frequent,723,39
Energy,Solar,205,82
Flights,>5/year,1719,6
Water,Moderate usage,367,75
Shopping,Fast fashion weekly,876,31
Meat,Daily,873,26
Transport,Public Transport,565,59
Plastic,Moderate,431,66
Energy,Gas,742,54
Flights,1-5/year,808,46
Water,High usage,761,35
Shopping,Minimal / recycled,95,93
Meat,Daily,923,18
Transport,Car,1237,26
Plastic,Moderate,425,58
Energy,Solar,229,86
Flights,None,0,100
Water,Moderate usage,417,64
Shopping,Minimal / recycled,95,96
Meat,No meat,91,86
Transport,Public Transport,547,75
Plastic,Moderate,345,71
Energy,Coal,996,26
Flights,1-5/year,1009,36
Water,Low usage,200,82
Shopping,Monthly shopping,552,51
Meat,Occasionally,575,50
Transport,Public Transport,561,64
Plastic,Minimal,151,94
Energy,Solar,246,87
Flights,None,0,98
Water,Low usage,232,84
Shopping,Minimal / recycled,104,86
Meat,No meat,92,92
Transport,Car,1154,26
Plastic,Moderate,347,64
Energy,Solar,207,84
Flights,>5/year,1983,10
Water,Low usage,186,91
Shopping,Minimal / recycled,110,91
Meat,Occasionally,644,45
Transport,Car,1305,27
Plastic,Moderate,448,64
Energy,Coal,1067,33
Flights,None,0,97
Water,Low usage,194,91
Shopping,Minimal / recycled,100,83
Meat,Occasionally,613,46
Transport,Car,1244,29
Plastic,Minimal,171,80
Energy,Solar,200,84
Flights,None,0,95
